workload,numCycles,tlb_hits,read_hits,write_hits,tlb_misses,read_misses,write_misses,mshr_hits,mshr_stall_cycles,num_jobs,total_cycles,num_tasks,read_action_cycles,compute_action_cycles,write_action_cycles,num_macver_onW
TDLCA_Robot_Localization,259143631,43620,34694,8926,34236,24474,9762,9409,0,16,4093105,768,3873910,484096,1365118,2966
0,1,44314,35258,9056,33542,23910,9632,9231,0,16,4036937,768,3800196,484096,1384285,3011
0,2,43745,34485,9260,34111,24683,9428,9327,0,16,4092715,768,3873187,484096,1338007,3140
0,3,44776,35323,9453,33080,23845,9235,9096,0,16,4028759,768,3785980,484096,1330070,3150
0,4,43633,34388,9245,34223,24780,9443,9242,0,16,4080931,768,3853294,484096,1333390,3210
0,5,43356,34256,9100,34500,24912,9588,9402,0,16,4083426,768,3856746,484096,1342053,2993
0,6,43567,34945,8622,34289,24223,10066,9469,0,16,4106854,768,3870374,484096,1384131,2999
0,7,42992,33750,9242,34864,25418,9446,9578,0,16,4116962,768,3888778,484096,1344143,3197
TDLCA_Segmentation,183548904,46319,26811,19508,264065,199797,64268,193348,0,119,11487439,1904,10552672,4877045,3604281,5879
0,1,49354,26723,22631,294934,224637,70297,214860,0,132,11503449,2112,10504436,5409810,3697355,6850
0,2,48323,26631,21692,285533,217113,68420,207921,0,128,11552703,2048,10566154,5245817,3630667,6369
0,3,45378,27229,18149,254574,191762,62812,187002,0,115,11500975,1840,10577863,4713100,3559321,5937
0,4,47833,26504,21329,291239,221045,70194,212230,0,130,11552215,2080,10550469,5327806,3669661,6203
0,5,52607,28296,24311,309937,236381,73556,225321,0,139,11566531,2224,10499607,5696594,3767575,7177
0,6,47172,25461,21711,286684,218273,68411,208932,0,128,11526360,2048,10523561,5245850,3651856,6006
0,7,48757,26194,22563,298139,227068,71071,216456,0,133,11497647,2128,10489356,5450749,3694402,6269
TDLCA_EKF_SLAM,301294067,30932,8709,22223,19788,5915,13873,5530,0,16,2838632,256,1855393,594734,2174621,6990
0,1,30707,7672,23035,10797,2856,7941,3845,0,16,2209044,256,1341616,516443,1716263,6915
