workload,numCycles,tlb_hits,read_hits,write_hits,tlb_misses,read_misses,write_misses,mshr_hits,mshr_stall_cycles,num_jobs,total_cycles,num_tasks,read_action_cycles,compute_action_cycles,write_action_cycles,num_macver_onW
TDLCA_Robot_Localization,257623446,56510,43562,12948,21346,15606,5740,30012,0,16,2562539,768,2401010,484096,811882,2694
0,1,57392,44321,13071,20464,14847,5617,29009,0,16,2539599,768,2375438,484096,834634,2916
0,2,57114,43844,13270,20742,15324,5418,29716,0,16,2541657,768,2379996,484096,826787,2726
0,3,60568,46969,13599,22152,15895,6257,31076,0,17,2596749,816,2430540,514352,832573,3008
0,4,56537,43788,12749,21319,15380,5939,29852,0,16,2561161,768,2395858,484096,819769,2628
0,5,57794,44369,13425,20062,14799,5263,28985,0,16,2531965,768,2373213,484096,782957,2915
0,6,51759,40016,11743,21233,15456,5777,29248,0,15,2515480,720,2359128,453840,806152,2232
0,7,57243,43990,13253,20613,15178,5435,29821,0,16,2550139,768,2393894,484096,816444,2473
TDLCA_Segmentation,182915678,139440,98926,40514,160512,120066,40446,140947,0,115,10892189,1840,10022769,4713085,3455871,15276
0,1,151462,107623,43839,187610,139929,47681,164456,0,130,10855875,2080,9874050,5327608,3553308,16343
0,2,141329,99537,41792,192527,144207,48320,169750,0,128,10883504,2048,9890451,5245667,3578111,14960
0,3,151590,107887,43703,210954,156801,54153,184439,0,139,10858550,2224,9771547,5696315,3665275,15961
0,4,142913,101030,41883,190943,142714,48229,167978,0,128,10932031,2048,9913227,5245700,3598534,15143
0,5,150603,106831,43772,180645,135009,45636,158546,0,127,10880117,2032,9902017,5204629,3598979,16707
0,6,121164,84266,36898,228340,170902,57438,201122,0,134,10899472,2144,9847161,5491519,3568920,12192
0,7,131453,93134,38319,189363,141090,48273,166389,0,123,10844540,1968,9914333,5040888,3473984,13463
TDLCA_EKF_SLAM,300780229,38964,10427,28537,11756,4197,7559,33089,0,16,2469172,256,1471113,594114,1859303,6250
0,1,35930,8932,26998,8166,2252,5914,28408,0,17,2130756,272,1271823,547656,1640242,5970
0,2,39433,10569,28864,11287,4055,7232,32507,0,16,2466449,256,1411641,594734,1865581,6700
0,3,34542,8398,26144,6962,2130,4832,25942,0,16,2117295,256,1192549,515127,1654112,6430
0,4,39336,10442,28894,11384,4182,7202,33110,0,16,2487377,256,1416128,594734,1874987,6218
0,5,32311,8014,24297,6601,1858,4743,24699,0,15,2061687,240,1162466,483791,1609094,5518
0,6,39433,10578,28855,11287,4046,7241,32626,0,16,2467907,256,1362959,594249,1877079,6569
0,7,36441,8969,27472,7655,2215,5440,28014,0,17,2136836,272,1334432,545809,1626096,6355
0,8,39237,10382,28855,11483,4242,7241,33114,0,16,2458392,256,1380948,594702,1848848,6272
0,9,34264,8343,25921,7240,2185,5055,26674,0,16,2099608,256,1155033,515376,1617686,5764
0,10,39677,10616,29061,11043,4008,7035,32436,0,16,2493287,256,1468276,594734,1877208,6729
0,11,33953,8322,25631,7551,2206,5345,26444,0,16,2065427,256,1111893,515328,1599334,6012
0,12,39268,10383,28885,11452,4241,7211,33768,0,16,2493668,256,1521198,594153,1875225,5613
0,13,32155,7954,24201,6757,1918,4839,25193,0,15,2051466,240,1089491,483676,1595860,5085
0,14,39069,10280,28789,11651,4344,7307,33612,0,16,2468608,256,1582621,594215,1844250,5887
0,15,33693,8271,25422,7811,2257,5554,27280,0,16,2074646,256,1272372,514662,1574913,5228
TDLCA_Disparity_Map,72181911,18951,12572,6379,565,212,353,956,0,153,2115097,2448,1471495,122890,1651497,5633
